Nazwa,Adres,Godziny,Telefon,Email,Strona,Logo,Zdjęcie,Facebook,Instagram,YouTube,latitude,longitude
Molski Gallery,"Wroniecka 2, Poznań","Wt-Pt: 12:00–17:00, Sob: 11:00-14:00",730 056 730,office@molskigallery.com,https://molskigallery.com/,https://molskigallery.com/assets/img/og-image-1200x630.jpg,https://pik.poznan.pl/wp-content/uploads/2025/04/MOLSKI-Gallery-.jpg,https://www.facebook.com/molskigallery,https://www.instagram.com/molski_gallery/,https://www.youtube.com/@molskigallery,,
Centrum Kultury ZAMEK,"Św. Marcin 80, Poznań",Pn-Nd: 12:00–20:00,61 646 52 72,sekretariat@ckzamek.pl,https://mediateka.ckzamek.pl/collection/wystawy/,https://image.bilety24.pl/original/organizer/centrum-kultury-zamek-2020.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/2008_Kaiserschloss_Posen_04.JPG,https://www.facebook.com/ckzamek,https://www.instagram.com/ckzamek/,https://www.youtube.com/@PoznanCKZamek,,
Galeria Sztuki Współczesnej,"Garbary 48, Poznań","Wt-Pt: 11:00-18:00, Sb:11:00-14:00",61 852 91 70,galeria@garbary48.pl,https://garbary48.com.pl/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUpDjQnI_vnbeOrGkT_kK_ldj5H7ROgdMI0g&s,https://lh6.googleusercontent.com/proxy/Fss01Yeee8YUwY5GJVLyJgLGL8k7Ws6Y7JAiXw4gmE_b2In1Ao8sSVxrMM2YS2J3yt8mKjMyH3nXAgz6DyAILtYyMmNGfJwKJLnRCM1GD3gq,https://www.facebook.com/p/Galeria-Sztuki-Wsp%C3%B3%C5%82czesnej-Garbary-48-100057484328716/?locale=pl_PL,https://www.instagram.com/explore/locations/610253323/galeria-sztuki-wspolczesnej-garbary-48/,,,
ABC Gallery,"Koszalińska 15, Poznań",Wt-Pt: 12:00-18:00,605 446 182,galeria@abcgallery.pl,https://abcgallery.pl/,https://abcgallery.pl/wp-content/themes/twentysixteen-child/img/logo.png,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCldnWrWCAeayBjkBe7cYXD_OefInGhW3KSvoA7eHb2sgTNcCAv7dLURrJqo0QWxh_NIPSidvhbTt7ejCY8qKG-AmcG1nbYeoe733TkwCAxvlIumqjnxDuYKUDjhow29ZYcIr2=s1360-w1360-h1020-rw,https://www.facebook.com/ABCGallery/,https://www.instagram.com/abc_gallery_poznan/,,,
Galeria Miejska Arsenał,"Stary Rynek 6, Poznań","Wt-Pt: 12:00-19:00, Sb:11:00-19:00, Nd:11:00-16:00",61 852 95 01,arsenal@arsenal.art.pl,https://arsenal.art.pl/,https://upload.wikimedia.org/wikipedia/commons/a/ae/Galeria_Miejska_Arsena%C5%82_w_Poznaniu.png,"https://bi.im-g.pl/im/89/c7/1d/z31225993AMP,W-pawilonie-po-lewej-stronie-jest-Galeria-Miejska-.jpg",https://www.facebook.com/GaleriaMiejskaArsenal/,https://www.instagram.com/galeriamiejskaarsenal/,https://www.youtube.com/@gamapoznan/featured,,
Galeria Śluza,"Dziekańska 2, Poznań","Wt-Pt: 09:00-18:00, Sb-Nd:10:00-19:00",61 647 76 31,wystawy@pcd.poznan.pl,https://galeriasluza.pl/,https://galeriasluza.pl/wp-content/themes/sluza/img/static/logo.svg?v=1.02,https://galeriasluza.pl/wp-content/uploads/2021/12/LGD_4298.jpg,https://www.facebook.com/GaleriaSluza/,https://www.instagram.com/galeria_sluza/,https://www.youtube.com/channel/UCGVr83zlHwUqi-qSgi4uZdw,,
Mil'Art. Galeria sztuki,"Wroniecka 6, Poznań","Pn-Pt: 11:00-18:00, Sb:11:00-14:00",61 851 74 01,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAAw9jfazLcC1Rxjcne9e6OE4vBwa9GEW1fQ&s,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfa-VaW6oH97mEEFaWHdwWZYMjgm0asgVH5ZEELnBC3JjUW2PGoQd8iIFIYEAO_mU4sRqdO4RnS3OSvLJltsdt3LQt4UaoiX5_-b7FXoHFrhw9QXaSP0ZVs3sLw0IaKqBcv2IQ=s1360-w1360-h1020-rw,,,,,
Galeria U Jezuitów - Pracownia Działań Twórczych,"Dominikańska 8, Poznań",Pn-Sb: 10:00-18:00,691 119 739,,http://www.galeriaujezuitow.pl/,https://scontent-waw2-2.xx.fbcdn.net/v/t39.30808-6/380541086_799499851968572_1296668404396643981_n.jpg,,https://www.facebook.com/galeriaujezuitow,,,,
Galeria Sztuki Współczesnej Jarek Cechmanowicz,"Ignacego Paderewskiego 7, Poznań",Pn-Pt: 11:00-16:00,61 855 10 58,galeria@galeria-cechmanowicz.pl,http://www.galeria-cechmanowicz.pl/,https://lh3.googleusercontent.com/p/AF1QipPduQ8Yv-oquVOb5o2FQ9k7eG9FvkJlOiWimO4Q=s1360-w1360-h1020-rw,,,,,,
Galeria Ego,"Stanisława Wyspiańskiego 41, Poznań","Wt-Pt: 16:00-19:00, Sb: 11:00-14:00",510 230 269,ego.galeriaego@gmail.com,http://galeriaego.pl/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsZu91SuZVtdYJl8iqcjiAv91zuT3DBO59LA&s,https://lh3.googleusercontent.com/proxy/iELH5Vb6cobUr_p9sQcWx4A8YpOlThgrS0x1uOLOIjbsWtSbyx_89nOf8sQQt14Kta5VvNcjQD1HEfqUl0Q-oBor4LEAqX5TSR1_-oD0Vb9kK3zsHZfSjCSLkDA4yIkHnMb4dg0,https://www.facebook.com/GaleriaEGO/,https://www.instagram.com/galeriaego/,,,
